predictor,interaction,Response,approach
MST_large,0.151191909,Phe,unscaled
clade2,0.071400758,SWP_L,unscaled
VD_small,0.273056534,SWP_L,unscaled
VD_medium,0.090727377,SWP_L,unscaled
VD_large,0.137019735,SWP_L,unscaled
ER_small,0.315845456,SWP_L,unscaled
ER_medium,0.086359234,SWP_L,unscaled
ER_large,0.103399485,SWP_L,unscaled
MST_small,0.12637997,SWP_L,unscaled
MST_medium,0.188413548,SWP_L,unscaled
MST_large,0.187542155,SWP_L,unscaled
clade2,0.085189964,SWP_M,unscaled
VD_small,0.097491308,SWP_M,unscaled
VD_medium,0.297656392,SWP_M,unscaled
VD_large,0.226003635,SWP_M,unscaled
ER_small,0.315535363,SWP_M,unscaled
ER_medium,0.249200988,SWP_M,unscaled
ER_large,0.264450246,SWP_M,unscaled
MST_small,0.170078097,SWP_M,unscaled
MST_medium,0.46451166,SWP_M,unscaled
MST_large,0.035360734,SWP_M,unscaled
clade2,0.160885493,SWS_L,unscaled
VD_small,0.131867309,SWS_L,unscaled
VD_medium,0.159339095,SWS_L,unscaled
VD_large,0.133719433,SWS_L,unscaled
ER_small,0.071475614,SWS_L,unscaled
ER_medium,0.131275577,SWS_L,unscaled
ER_large,0.125655963,SWS_L,unscaled
MST_small,0.090720644,SWS_L,unscaled
MST_medium,0.113882837,SWS_L,unscaled
MST_large,0.142668039,SWS_L,unscaled
clade2,0.152571755,SWS_M,unscaled
VD_small,0.191279708,SWS_M,unscaled
VD_medium,0.181533142,SWS_M,unscaled
VD_large,0.215908748,SWS_M,unscaled
ER_small,0.087791069,SWS_M,unscaled
ER_medium,0.165758351,SWS_M,unscaled
ER_large,0.165115703,SWS_M,unscaled
MST_small,0.055320198,SWS_M,unscaled
MST_medium,0.107272486,SWS_M,unscaled
MST_large,0.075330882,SWS_M,unscaled
clade2,0.053018182,Dkleaf_mean,scaled
VD_small,0.13791615,Dkleaf_mean,scaled
VD_medium,0.067000393,Dkleaf_mean,scaled
VD_large,0.092161503,Dkleaf_mean,scaled
ER_small,0.020912189,Dkleaf_mean,scaled
ER_medium,0.126540381,Dkleaf_mean,scaled
ER_large,0.086655395,Dkleaf_mean,scaled
MST_small,0.099953985,Dkleaf_mean,scaled
MST_medium,0.113424583,Dkleaf_mean,scaled
MST_large,0.112120727,Dkleaf_mean,scaled
clade2,0.087453687,e_L,scaled
VD_small,0.087518164,e_L,scaled
VD_medium,0.129225438,e_L,scaled
VD_large,0.136548696,e_L,scaled
ER_small,0.048738796,e_L,scaled
ER_medium,0.046795417,e_L,scaled
ER_large,0.110060269,e_L,scaled
MST_small,0.073632432,e_L,scaled
MST_medium,0.041536191,e_L,scaled
MST_large,0.03330747,e_L,scaled
clade2,0.072416424,e_W,scaled
VD_small,0.102475212,e_W,scaled
VD_medium,0.12921154,e_W,scaled
VD_large,0.111507969,e_W,scaled
ER_small,0.054762471,e_W,scaled
ER_medium,0.029678819,e_W,scaled
ER_large,0.032617991,e_W,scaled
MST_small,0.036358554,e_W,scaled
MST_medium,0.102404126,e_W,scaled
MST_large,0.121195174,e_W,scaled
clade2,0.240336994,ISI,scaled
VD_small,0.141531562,ISI,scaled
VD_medium,0.236966229,ISI,scaled
VD_large,0.118651981,ISI,scaled
ER_small,0.271045434,ISI,scaled
ER_medium,0.141535452,ISI,scaled
ER_large,0.101955785,ISI,scaled
MST_small,0.03815101,ISI,scaled
MST_medium,0.119303961,ISI,scaled
MST_large,0.07311981,ISI,scaled
clade2,0.031912839,Kleaf_max,scaled
VD_small,0.136410347,Kleaf_max,scaled
VD_medium,0.063972965,Kleaf_max,scaled
VD_large,0.173227532,Kleaf_max,scaled
ER_small,0.117983742,Kleaf_max,scaled
ER_medium,0.083356688,Kleaf_max,scaled
ER_large,0.090000659,Kleaf_max,scaled
MST_small,0.056981475,Kleaf_max,scaled
MST_medium,0.114302204,Kleaf_max,scaled
MST_large,0.091978725,Kleaf_max,scaled
clade2,0.096980092,LMA,scaled
VD_small,0.260301796,LMA,scaled
VD_medium,0.240842507,LMA,scaled
VD_large,0.14911263,LMA,scaled
ER_small,0.086997101,LMA,scaled
ER_medium,0.130329263,LMA,scaled
ER_large,0.196639912,LMA,scaled
MST_small,0.138031272,LMA,scaled
MST_medium,0.157406358,LMA,scaled
MST_large,0.081953758,LMA,scaled
clade2,0.066775349,P50,scaled
VD_small,0.162978495,P50,scaled
VD_medium,0.126807631,P50,scaled
VD_large,0.057926107,P50,scaled
ER_small,0.052561424,P50,scaled
ER_medium,0.084964042,P50,scaled
ER_large,0.105091961,P50,scaled
MST_small,0.061942953,P50,scaled
MST_medium,0.131589105,P50,scaled
MST_large,0.076003009,P50,scaled
clade2,0.064266573,P88,scaled
VD_small,0.175126141,P88,scaled
VD_medium,0.086947934,P88,scaled
VD_large,0.167212175,P88,scaled
ER_small,0.038925255,P88,scaled
ER_medium,0.044699547,P88,scaled
ER_large,0.104379494,P88,scaled
MST_small,0.10352907,P88,scaled
MST_medium,0.046426976,P88,scaled
MST_large,0.046924723,P88,scaled
clade2,0.075983756,Phe,scaled
VD_small,0.138083105,Phe,scaled
VD_medium,0.083964506,Phe,scaled
VD_large,0.163883966,Phe,scaled
ER_small,0.090978815,Phe,scaled
ER_medium,0.193325784,Phe,scaled
ER_large,0.097063604,Phe,scaled
MST_small,0.065984773,Phe,scaled
MST_medium,0.040688711,Phe,scaled
MST_large,0.031603265,Phe,scaled
clade2,0.10558973,SWP_L,scaled
VD_small,0.014993314,SWP_L,scaled
VD_medium,0.105097976,SWP_L,scaled
VD_large,0.016999352,SWP_L,scaled
ER_small,0.197678606,SWP_L,scaled
ER_medium,0.08136134,SWP_L,scaled
ER_large,0.051741246,SWP_L,scaled
MST_small,0.040902146,SWP_L,scaled
MST_medium,0.146214828,SWP_L,scaled
MST_large,0.03954286,SWP_L,scaled
clade2,0.081822844,SWP_M,scaled
VD_small,0.173652605,SWP_M,scaled
VD_medium,0.224087769,SWP_M,scaled
VD_large,0.202325278,SWP_M,scaled
ER_small,0.111288105,SWP_M,scaled
ER_medium,0.139648687,SWP_M,scaled
ER_large,0.170010278,SWP_M,scaled
MST_small,0.117168349,SWP_M,scaled
MST_medium,0.119936878,SWP_M,scaled
MST_large,0.123461811,SWP_M,scaled
clade2,0.059029265,SWS_L,scaled
VD_small,0.10178776,SWS_L,scaled
VD_medium,0.090632361,SWS_L,scaled
VD_large,0.185981694,SWS_L,scaled
ER_small,0.148724543,SWS_L,scaled
ER_medium,0.067365573,SWS_L,scaled
ER_large,0.092841966,SWS_L,scaled
MST_small,0.099391501,SWS_L,scaled
MST_medium,0.147704517,SWS_L,scaled
MST_large,0.120330479,SWS_L,scaled
clade2,0.057211631,SWS_M,scaled
VD_small,0.044779077,SWS_M,scaled
VD_medium,0.065469342,SWS_M,scaled
VD_large,0.087977546,SWS_M,scaled
ER_small,0.190496427,SWS_M,scaled
ER_medium,0.065957586,SWS_M,scaled
ER_large,0.071277924,SWS_M,scaled
MST_small,0.128274102,SWS_M,scaled
MST_medium,0.202016601,SWS_M,scaled
MST_large,0.296124618,SWS_M,scaled
